iter	RMSE
0	3959.913252
1	3731.824482
2	3532.224288
3	3354.502503
4	3201.254918
5	3063.722671
6	2941.544013
7	2837.522098
8	2745.441725
9	2664.836368
10	2584.740542
11	2514.778935
12	2449.107542
13	2393.970469
14	2344.931129
15	2300.929519
16	2261.586604
17	2228.737759
18	2199.453136
19	2168.582244
20	2143.298627
21	2121.019837
22	2101.553487
23	2082.830918
24	2066.521391
25	2052.541064
26	2038.751079
27	2026.122438
28	2014.237977
29	2004.797047
30	1995.508154
31	1985.235548
32	1977.069665
33	1970.495936
34	1962.87726
35	1956.185502
36	1949.326653
37	1943.94504
38	1939.111391
39	1933.076449
40	1928.25563
41	1923.347116
42	1919.37163
43	1915.743703
44	1912.254528
45	1906.807172
46	1903.406786
47	1898.86874
48	1895.994359
49	1892.961099
50	1889.253425
51	1886.357032
52	1882.894467
53	1880.724733
54	1878.002632
55	1875.286939
56	1871.994648
57	1870.138204
58	1867.766571
59	1865.938071
60	1863.739152
61	1861.233766
62	1859.686716
63	1856.841697
64	1855.184162
65	1853.056921
66	1850.470482
67	1849.018255
68	1847.665162
69	1845.977391
70	1843.965447
71	1842.717827
72	1841.4243
73	1840.048472
74	1837.946651
75	1836.476923
76	1834.703153
77	1833.521356
78	1832.288794
79	1830.785706
80	1828.826737
81	1828.059695
82	1826.961765
83	1826.04742
84	1825.149556
85	1823.648086
86	1822.321129
87	1821.561776
88	1820.353796
89	1819.478668
90	1818.564128
91	1817.09929
92	1815.648538
93	1813.870168
94	1812.753854
95	1811.483633
96	1810.470778
97	1809.197987
98	1808.483624
99	1807.620735
100	1806.644868
101	1806.068878
102	1805.132214
103	1804.293403
104	1803.11681
105	1802.313209
106	1801.224075
107	1800.204262
108	1799.412089
109	1798.507637
110	1797.526896
111	1797.009043
112	1796.210635
113	1795.581253
114	1794.850582
115	1793.938523
116	1792.988572
117	1791.963833
118	1791.498187
119	1791.051039
120	1790.158422
121	1788.799948
122	1788.135604
123	1787.477815
124	1786.545525
125	1785.916133
126	1785.34392
127	1784.689075
128	1783.700856
129	1782.921508
130	1782.17235
131	1781.522557
132	1780.675479
133	1779.886461
134	1779.32401
135	1778.883206
136	1777.585822
137	1776.635339
138	1776.035129
139	1775.249551
140	1774.533888
141	1774.004215
142	1773.23254
143	1772.505595
144	1771.635046
145	1770.699142
146	1770.129683
147	1769.670634
148	1768.955177
149	1768.50311
150	1767.784764
151	1767.3021
152	1766.521627
153	1765.974516
154	1765.480275
155	1764.960805
156	1764.246807
157	1763.496049
158	1762.955638
159	1762.098477
160	1761.491136
161	1760.791081
162	1760.227858
163	1759.62915
164	1758.827418
165	1758.456261
166	1758.113282
167	1757.809551
168	1757.364422
169	1757.060849
170	1756.39154
171	1755.601565
172	1754.96586
173	1754.292124
174	1753.416614
175	1752.967278
176	1752.652136
177	1752.263829
178	1751.971091
179	1751.574048
180	1750.738893
181	1750.210112
182	1749.761564
183	1749.547825
184	1748.893872
185	1748.509145
186	1748.029988
187	1747.67874
188	1747.21014
189	1746.759411
190	1746.40431
191	1746.043992
192	1745.396033
193	1744.943244
194	1744.577204
195	1744.307391
196	1743.72729
197	1743.439234
198	1743.105297
199	1742.556894
200	1742.018067
201	1741.445287
202	1741.166336
203	1740.837184
204	1739.774012
205	1739.538162
206	1739.349732
207	1738.547159
208	1738.366701
209	1737.882151
210	1737.384784
211	1737.158642
212	1736.786882
213	1736.460045
214	1736.226202
215	1735.855877
216	1735.320118
217	1734.602612
218	1734.264143
219	1733.997495
220	1733.62144
221	1733.285129
222	1732.820239
223	1732.644987
224	1732.250984
225	1731.958703
226	1731.471632
227	1731.219329
228	1730.979474
229	1730.729689
230	1730.150013
231	1729.936911
232	1729.5719
233	1729.246041
234	1729.092507
235	1728.717648
236	1728.465289
237	1727.862919
238	1727.406983
239	1727.08516
240	1726.67821
241	1726.493586
242	1726.032901
243	1725.914422
244	1725.741459
245	1725.348272
246	1725.099165
247	1724.809111
248	1724.489439
249	1724.376303
250	1724.171569
251	1723.976469
252	1723.514953
253	1723.206571
254	1722.929219
255	1722.809902
256	1722.207324
257	1721.972136
258	1721.639119
259	1721.255306
260	1721.091311
261	1720.801593
262	1720.353881
263	1720.124638
264	1719.653168
265	1719.204797
266	1718.907358
267	1718.652416
268	1718.520097
269	1718.440282
270	1718.0002
271	1717.80929
272	1717.552795
273	1717.215372
274	1717.001358
275	1716.832084
276	1716.664594
277	1716.415657
278	1716.257246
279	1715.890698
280	1715.564648
281	1715.152896
282	1714.952137
283	1714.71416
284	1714.367699
285	1714.248005
286	1714.10082
287	1713.712186
288	1713.355159
289	1713.173434
290	1712.831686
291	1712.578371
292	1712.080611
293	1711.994541
294	1711.717369
295	1711.546112
296	1711.419718
297	1711.175394
298	1710.935585
299	1710.694364
300	1710.339944
301	1710.206754
302	1709.918128
303	1709.704096
304	1709.486916
305	1709.362605
306	1709.025951
307	1708.626621
308	1708.506801
309	1708.213141
310	1707.862652
311	1707.614535
312	1707.279684
313	1707.066887
314	1707.012306
315	1706.726309
316	1706.388882
317	1706.166417
318	1706.005695
319	1705.947981
320	1705.76676
321	1705.624543
322	1705.424476
323	1705.269132
324	1704.904208
325	1704.699697
326	1704.335634
327	1704.131719
328	1703.889719
329	1703.87755
330	1703.609947
331	1703.403038
332	1703.175297
333	1702.845332
334	1702.786912
335	1702.660394
336	1702.628635
337	1702.37081
338	1702.158821
339	1701.991934
340	1701.713798
341	1701.413302
342	1701.27798
343	1700.922922
344	1700.691338
345	1700.455101
346	1700.22854
347	1699.925515
348	1699.662013
349	1699.610003
350	1699.481314
351	1699.259001
352	1699.124606
353	1698.91619
354	1698.845229
355	1698.80232
356	1698.706012
357	1698.667925
358	1698.545908
359	1698.526817
360	1698.471578
361	1698.256941
362	1698.060174
363	1697.944948
364	1697.833579
365	1697.760975
366	1697.744334
367	1697.631664
368	1697.527834
369	1697.1884
370	1697.033744
371	1696.921352
372	1696.783976
373	1696.673222
374	1696.426223
375	1696.062897
376	1695.851149
377	1695.72636
378	1695.683505
379	1695.334443
380	1695.307146
381	1695.244825
382	1695.047028
383	1694.856748
384	1694.567463
385	1694.363937
386	1694.264897
387	1694.031759
388	1694.014018
389	1693.770916
390	1693.515382
391	1693.349143
392	1693.332211
393	1693.05215
394	1692.69729
395	1692.401207
396	1692.194145
397	1691.969126
398	1691.837701
399	1691.755455
400	1691.578735
401	1691.415734
402	1691.316463
403	1691.130082
404	1691.025359
405	1690.675342
406	1690.632287
407	1690.486997
408	1690.226356
409	1689.979899
410	1689.632684
411	1689.426544
412	1689.382434
413	1689.272092
414	1689.226526
415	1689.138852
416	1688.82937
417	1688.618951
418	1688.344375
419	1688.199405
420	1688.012764
421	1687.60587
422	1687.269751
423	1686.926792
424	1686.677488
425	1686.493578
426	1686.459458
427	1686.430269
428	1686.041093
429	1685.923434
430	1685.648364
431	1685.410217
432	1685.312128
433	1685.144368
434	1684.817428
435	1684.677499
436	1684.538167
437	1684.510042
438	1684.207822
439	1684.143537
440	1683.943356
441	1683.657682
442	1683.351618
443	1683.173602
444	1683.109686
445	1683.021158
446	1682.946963
447	1682.739705
448	1682.656238
449	1682.420045
450	1682.377575
451	1682.116986
452	1681.95989
453	1681.853263
454	1681.639569
455	1681.501534
456	1681.223354
457	1680.97162
458	1680.722418
459	1680.485418
460	1680.395504
461	1680.161148
462	1680.09223
463	1679.917477
464	1679.760851
465	1679.609909
466	1679.440671
467	1679.21304
468	1679.174536
469	1679.064423
470	1679.008858
471	1678.944375
472	1678.882675
473	1678.720842
474	1678.711676
475	1678.695116
476	1678.500586
477	1678.454692
478	1678.245096
479	1678.061675
480	1678.031219
481	1677.85426
482	1677.833513
483	1677.71222
484	1677.543012
485	1677.436616
486	1677.243917
487	1677.042336
488	1676.920346
489	1676.809982
490	1676.596566
491	1676.415521
492	1676.276288
493	1676.054785
494	1675.635554
495	1675.533808
496	1675.453878
497	1675.416766
498	1675.37259
499	1675.256251
500	1675.106707
501	1674.975945
502	1674.784122
503	1674.60081
504	1674.279738
505	1674.223111
506	1673.98344
507	1673.793323
508	1673.694565
509	1673.458498
510	1673.351863
511	1673.155688
512	1672.849736
513	1672.795964
514	1672.538419
515	1672.34603
516	1672.230801
517	1672.170384
518	1671.831859
519	1671.682497
520	1671.394527
521	1671.297882
522	1671.263925
523	1671.07338
524	1671.004966
525	1670.928281
526	1670.757
527	1670.673045
528	1670.598619
529	1670.443387
530	1670.360274
531	1670.209879
532	1670.057739
533	1669.907034
534	1669.757096
535	1669.575034
536	1669.506534
537	1669.265838
538	1669.13827
539	1669.115749
540	1668.988174
541	1668.873449
542	1668.747048
543	1668.569805
544	1668.490943
545	1668.294665
546	1668.219332
547	1668.120733
548	1667.939778
549	1667.823661
550	1667.708
551	1667.465149
552	1667.274991
553	1667.186479
554	1666.96187
555	1666.910208
556	1666.765824
557	1666.715639
558	1666.536281
559	1666.395878
560	1666.326765
561	1666.26391
562	1666.226315
563	1666.096635
564	1665.947431
565	1665.858665
566	1665.812684
567	1665.706386
568	1665.52696
569	1665.446475
570	1665.408283
571	1665.259659
572	1665.076643
573	1664.891284
574	1664.83147
575	1664.780034
576	1664.467692
577	1664.44972
578	1664.280948
579	1664.19213
580	1664.06065
581	1663.845826
582	1663.805307
583	1663.747105
584	1663.664864
585	1663.618776
586	1663.544526
587	1663.534461
588	1663.40629
589	1663.302998
590	1663.227023
591	1663.195281
592	1663.161809
593	1663.07255
594	1663.070436
595	1662.983197
596	1662.927732
597	1662.628519
598	1662.311877
599	1662.216291
600	1662.177052
601	1662.12421
602	1662.036709
603	1661.891434
604	1661.855673
605	1661.756041
606	1661.705501
607	1661.690787
608	1661.531693
609	1661.435844
610	1661.297663
611	1661.246263
612	1661.117138
613	1660.968679
614	1660.67103
615	1660.635775
616	1660.547343
617	1660.464058
618	1660.237289
619	1660.20061
620	1660.063174
621	1659.78794
622	1659.61929
623	1659.394318
624	1659.260655
625	1659.180625
626	1659.050602
627	1658.914003
628	1658.768087
629	1658.59138
630	1658.455179
631	1658.25046
632	1658.182807
633	1658.139183
634	1657.916863
635	1657.684321
636	1657.606161
637	1657.55046
638	1657.482323
639	1657.371578
640	1657.308601
641	1657.282577
642	1657.229937
643	1657.085731
644	1656.891313
645	1656.599078
646	1656.536239
647	1656.384347
648	1656.210115
649	1656.097461
650	1656.05707
651	1656.037824
652	1655.889856
653	1655.850925
654	1655.824207
655	1655.747005
656	1655.659032
657	1655.605751
658	1655.552676
659	1655.392382
660	1655.234837
661	1655.187556
662	1654.924845
663	1654.856793
664	1654.727896
665	1654.655503
666	1654.605868
667	1654.456839
668	1654.305109
669	1654.164699
670	1654.104985
671	1653.973188
672	1653.849443
673	1653.642265
674	1653.584719
675	1653.468726
676	1653.408946
677	1653.393227
678	1653.296033
679	1653.226117
680	1653.055512
681	1652.920268
682	1652.784613
683	1652.697463
684	1652.663845
685	1652.533767
686	1652.503457
687	1652.300751
688	1652.199604
689	1651.996726
690	1651.859072
691	1651.735414
692	1651.540443
693	1651.448633
694	1651.242373
695	1651.170028
696	1651.013473
697	1650.848957
698	1650.67766
699	1650.613853
700	1650.56742
701	1650.560546
702	1650.507017
703	1650.458579
704	1650.330406
705	1650.234663
706	1650.17752
707	1650.062608
708	1649.953546
709	1649.877818
710	1649.78493
711	1649.675393
712	1649.611756
713	1649.494158
714	1649.449148
715	1649.362308
716	1649.304494
717	1649.18082
718	1649.127843
719	1649.071785
720	1648.999568
721	1648.949625
722	1648.899275
723	1648.787083
724	1648.644327
725	1648.584499
726	1648.554917
727	1648.494411
728	1648.303278
729	1648.232773
730	1648.118011
731	1648.047655
732	1647.995435
733	1647.94982
734	1647.900347
735	1647.860775
736	1647.80015
737	1647.717788
738	1647.562604
739	1647.416702
740	1647.341557
741	1647.248905
742	1647.114698
743	1646.999021
744	1646.934724
745	1646.802061
746	1646.734101
747	1646.503318
748	1646.432638
749	1646.338287
750	1646.299615
751	1646.155058
752	1646.053903
753	1645.816055
754	1645.652514
755	1645.482534
756	1645.411737
757	1645.3642
758	1645.261608
759	1645.104635
760	1644.936763
761	1644.863431
762	1644.824269
763	1644.811638
764	1644.79958
765	1644.734347
766	1644.643686
767	1644.600237
768	1644.498473
769	1644.334613
770	1644.286922
771	1644.209093
772	1644.034185
773	1643.992717
774	1643.959979
775	1643.909414
776	1643.754874
777	1643.698869
778	1643.664738
779	1643.442901
780	1643.352968
781	1643.208867
782	1643.19079
783	1643.080231
784	1643.028975
785	1642.945091
786	1642.789788
787	1642.739381
788	1642.5795
789	1642.430279
790	1642.301952
791	1642.230981
792	1642.17996
793	1642.097406
794	1642.035198
795	1641.883405
796	1641.873563
797	1641.789755
798	1641.730694
799	1641.569364
800	1641.459315
801	1641.449848
802	1641.23968
803	1641.179928
804	1641.040412
805	1640.909793
806	1640.84601
807	1640.680164
808	1640.629531
809	1640.542811
810	1640.50742
811	1640.447663
812	1640.434252
813	1640.277834
814	1640.235196
815	1640.200535
816	1640.0597
817	1639.957517
818	1639.827107
819	1639.808423
820	1639.766207
821	1639.661835
822	1639.612794
823	1639.578478
824	1639.460257
825	1639.364238
826	1639.240319
827	1639.139244
828	1639.066691
829	1638.990427
830	1638.865941
831	1638.714819
832	1638.605279
833	1638.525671
834	1638.468091
835	1638.407906
836	1638.346991
837	1638.271189
838	1638.157501
839	1638.066103
840	1637.982586
841	1637.884601
842	1637.764721
843	1637.710561
844	1637.693637
845	1637.634816
846	1637.5044
847	1637.391344
848	1637.336732
849	1637.176647
850	1637.136431
851	1637.125549
852	1637.054242
853	1637.014667
854	1636.872826
855	1636.843794
