iter	Passed	Remaining
0	13	10650
1	24	9590
2	34	9224
3	44	8862
4	54	8692
5	64	8585
6	74	8474
7	85	8416
8	95	8368
9	105	8298
10	115	8310
11	126	8310
12	137	8297
13	146	8252
14	156	8206
15	166	8171
16	176	8144
17	187	8128
18	197	8101
19	206	8069
20	217	8060
21	227	8055
22	238	8056
23	248	8039
24	258	8024
25	268	8001
26	278	7987
27	289	7969
28	299	7965
29	309	7942
30	319	7928
31	329	7912
32	339	7895
33	350	7906
34	361	7897
35	371	7885
36	381	7868
37	391	7849
38	400	7819
39	410	7808
40	420	7793
41	431	7784
42	440	7756
43	450	7746
44	460	7732
45	471	7724
46	481	7718
47	492	7714
48	501	7691
49	513	7697
50	523	7687
51	534	7687
52	544	7679
53	554	7663
54	565	7653
55	578	7679
56	592	7720
57	603	7726
58	614	7722
59	626	7724
60	638	7735
61	650	7742
62	662	7744
63	677	7796
64	692	7834
65	706	7853
66	720	7879
67	730	7864
68	741	7857
69	754	7869
70	765	7864
71	778	7875
72	788	7848
73	798	7832
74	807	7809
75	817	7790
76	827	7771
77	838	7758
78	847	7737
79	857	7716
80	867	7698
81	877	7682
82	886	7661
83	897	7648
84	907	7630
85	916	7608
86	926	7594
87	936	7577
88	947	7566
89	957	7555
90	967	7534
91	976	7517
92	986	7501
93	996	7487
94	1007	7475
95	1017	7459
96	1028	7451
97	1038	7437
98	1048	7423
99	1058	7411
100	1069	7399
101	1079	7387
102	1089	7372
103	1098	7354
104	1108	7339
105	1119	7330
106	1129	7312
107	1139	7301
108	1149	7284
109	1159	7271
110	1169	7257
111	1178	7240
112	1188	7227
113	1198	7213
114	1209	7201
115	1218	7187
116	1228	7170
117	1238	7157
118	1248	7144
119	1258	7130
120	1268	7118
121	1278	7106
122	1288	7091
123	1298	7079
124	1308	7066
125	1318	7053
126	1328	7041
127	1338	7028
128	1349	7018
129	1359	7004
130	1369	6991
131	1378	6977
132	1389	6970
133	1399	6957
134	1409	6943
135	1419	6932
136	1429	6920
137	1439	6906
138	1449	6893
139	1459	6880
140	1469	6869
141	1480	6861
142	1491	6851
143	1502	6843
144	1513	6836
145	1524	6827
146	1535	6819
147	1545	6808
148	1555	6798
149	1566	6788
150	1576	6777
151	1586	6765
152	1598	6759
153	1608	6746
154	1618	6736
155	1630	6731
156	1643	6730
157	1653	6719
158	1666	6718
159	1678	6713
160	1690	6710
161	1702	6703
162	1714	6698
163	1726	6693
164	1737	6686
165	1749	6682
166	1761	6676
167	1773	6671
168	1784	6664
169	1797	6662
170	1809	6654
171	1821	6650
172	1831	6639
173	1844	6635
174	1856	6630
175	1867	6621
176	1878	6610
177	1888	6597
178	1897	6584
179	1908	6573
180	1918	6560
181	1928	6548
182	1938	6534
183	1947	6521
184	1957	6507
185	1967	6495
186	1977	6481
187	1987	6468
188	1996	6452
189	2006	6441
190	2015	6427
191	2025	6413
192	2035	6400
193	2045	6388
194	2055	6375
195	2065	6364
196	2078	6362
197	2089	6354
198	2103	6351
199	2115	6346
200	2126	6336
201	2137	6328
202	2151	6326
203	2163	6319
204	2174	6311
205	2187	6307
206	2201	6305
207	2212	6297
208	2224	6290
209	2235	6280
210	2251	6283
211	2262	6275
212	2276	6272
213	2287	6262
214	2298	6254
215	2310	6246
216	2322	6239
217	2334	6231
218	2344	6221
219	2355	6208
220	2364	6195
221	2374	6183
222	2384	6171
223	2395	6160
224	2406	6149
225	2416	6136
226	2426	6124
227	2436	6113
228	2446	6099
229	2458	6092
230	2468	6079
231	2480	6072
232	2493	6067
233	2505	6060
234	2517	6053
235	2531	6050
236	2545	6047
237	2559	6044
238	2571	6035
239	2585	6031
240	2597	6024
241	2610	6020
242	2623	6012
243	2637	6009
244	2649	6002
245	2662	5996
246	2676	5991
247	2687	5982
248	2698	5971
249	2708	5958
250	2718	5945
251	2728	5932
252	2737	5919
253	2747	5906
254	2756	5892
255	2767	5880
256	2777	5868
257	2787	5854
258	2796	5841
259	2806	5828
260	2815	5815
261	2825	5802
262	2836	5791
263	2846	5778
264	2856	5765
265	2866	5754
266	2875	5740
267	2886	5729
268	2896	5717
269	2906	5705
270	2916	5693
271	2926	5680
272	2936	5668
273	2946	5656
274	2956	5644
275	2966	5632
276	2976	5619
277	2986	5607
278	2995	5594
279	3005	5582
280	3015	5570
281	3025	5557
282	3035	5544
283	3044	5532
284	3054	5519
285	3064	5508
286	3075	5497
287	3087	5488
288	3100	5481
289	3111	5471
290	3123	5463
291	3135	5455
292	3147	5446
293	3158	5436
294	3172	5430
295	3185	5424
296	3198	5417
297	3210	5407
298	3222	5399
299	3234	5390
300	3247	5383
301	3258	5373
302	3270	5363
303	3282	5355
304	3294	5346
305	3305	5335
306	3317	5327
307	3328	5316
308	3338	5305
309	3349	5293
310	3359	5281
311	3368	5269
312	3377	5255
313	3387	5243
314	3397	5231
315	3408	5220
