iter	RMSE
0	5.779683716
1	5.615492805
2	5.471145423
3	5.336982395
4	5.218106045
5	5.100379229
6	4.987221482
7	4.886703981
8	4.793677086
9	4.70014493
10	4.613686046
11	4.53013447
12	4.46392363
13	4.399941552
14	4.345591281
15	4.293005409
16	4.236876565
17	4.1871746
18	4.141098013
19	4.095689303
20	4.057325884
21	4.021860661
22	3.988703685
23	3.958854994
24	3.926949992
25	3.897304575
26	3.869866322
27	3.841561657
28	3.816668064
29	3.794610907
30	3.769355506
31	3.746438935
32	3.727070982
33	3.707856249
34	3.687492849
35	3.672260656
36	3.658856702
37	3.646592814
38	3.634588177
39	3.620405115
40	3.604317942
41	3.592802222
42	3.583965092
43	3.571881808
44	3.560959735
45	3.549101637
46	3.5401879
47	3.527825461
48	3.517699634
49	3.509540485
50	3.50056066
51	3.491181374
52	3.481975365
53	3.473925018
54	3.464954316
55	3.456055787
56	3.445849274
57	3.441022008
58	3.435775946
59	3.429629927
60	3.421743775
61	3.412955216
62	3.403436911
63	3.39719656
64	3.390553906
65	3.383953248
66	3.378168618
67	3.369744129
68	3.363150016
69	3.358674759
70	3.350032575
71	3.344208622
72	3.337426939
73	3.330841407
74	3.325178084
75	3.317111554
76	3.313265022
77	3.310391326
78	3.303853166
79	3.29896805
80	3.292022966
81	3.283845334
82	3.277531507
83	3.269942358
84	3.263328546
85	3.257638817
86	3.253833327
87	3.250026652
88	3.243349479
89	3.237067142
90	3.230466923
91	3.224371406
92	3.21879125
93	3.212492831
94	3.209403344
95	3.204508314
96	3.198517328
97	3.194109683
98	3.18917853
99	3.184614324
100	3.179983834
101	3.175204778
102	3.170049284
103	3.164977311
104	3.159961927
105	3.154264361
106	3.151241798
107	3.146931975
108	3.142144793
109	3.138771441
110	3.135047439
111	3.12963306
112	3.126284625
113	3.121905839
114	3.118019464
115	3.113533508
116	3.111001759
117	3.104450924
118	3.098058542
119	3.093524822
120	3.09122178
121	3.087827228
122	3.084625547
123	3.079412517
124	3.076585792
125	3.072558633
126	3.067867437
127	3.064277034
128	3.060135593
129	3.058131301
130	3.05469971
131	3.051073455
132	3.048382673
133	3.043886151
134	3.041771507
135	3.037326111
136	3.034677216
137	3.02985985
138	3.024957201
139	3.019944735
140	3.016437377
141	3.013685538
142	3.012050578
143	3.010078808
144	3.00474603
145	3.00084234
146	2.997542975
147	2.99428775
148	2.988842677
149	2.983131019
150	2.979490505
151	2.974375508
152	2.973571432
153	2.969803199
154	2.969274955
155	2.963988784
156	2.959131278
157	2.954408685
158	2.950352064
159	2.94935786
160	2.944028216
161	2.94177294
162	2.941263316
163	2.94078223
164	2.937764128
165	2.933808647
166	2.927652088
167	2.922323937
168	2.918220686
169	2.911426531
170	2.905674588
171	2.901837381
172	2.90053773
173	2.897407389
174	2.892335125
175	2.891939745
176	2.888145237
177	2.88348359
178	2.879989549
179	2.875529695
180	2.870349229
181	2.869929951
182	2.867157015
183	2.866502154
184	2.862342286
185	2.857817453
186	2.853197236
187	2.849191804
188	2.8450378
189	2.841068355
190	2.837570836
191	2.833597309
192	2.830127367
193	2.82681614
194	2.822816888
195	2.818346892
196	2.813213583
197	2.809177175
198	2.806284067
199	2.802717976
200	2.800053121
201	2.794986252
202	2.794629781
203	2.791399084
204	2.790837539
205	2.789442968
206	2.783448229
207	2.779202296
208	2.77614895
209	2.771615483
210	2.767778555
211	2.764166384
212	2.760150415
213	2.757167451
214	2.756837979
215	2.751746303
216	2.748270125
217	2.747920037
218	2.746129589
219	2.741998562
220	2.741696837
221	2.740131712
222	2.736424182
223	2.731320883
224	2.729405285
225	2.726764972
226	2.722526261
227	2.718803446
228	2.714343181
229	2.711611688
230	2.709015212
231	2.708452824
232	2.704131225
233	2.700761829
234	2.696001572
235	2.693110832
236	2.687351938
237	2.685875246
238	2.682270959
239	2.679549283
240	2.679065313
241	2.677059294
242	2.674619524
243	2.671306374
244	2.668019863
245	2.66356219
246	2.659810755
247	2.658228861
248	2.654443421
249	2.650566812
250	2.647941927
251	2.645441436
252	2.641127518
253	2.638028061
254	2.635378366
255	2.632277566
256	2.629958277
257	2.628762166
258	2.624733639
259	2.620879676
260	2.620382104
261	2.617496174
262	2.613330606
263	2.611475176
264	2.608195697
265	2.605004985
266	2.60259885
267	2.598923078
268	2.595572292
269	2.592809411
270	2.590348978
271	2.586222035
272	2.584742282
273	2.582140558
274	2.58022841
275	2.57863868
276	2.575953459
277	2.573467747
278	2.570643435
279	2.567302864
280	2.564394465
281	2.561044756
282	2.556745633
283	2.553623638
284	2.549121409
285	2.545522753
286	2.542461702
287	2.542108238
288	2.539831222
289	2.538610038
290	2.538394988
291	2.535837719
292	2.533976953
293	2.529674464
294	2.525245801
295	2.521386756
296	2.517352338
297	2.513539863
298	2.51026795
299	2.50753099
300	2.504069864
301	2.500802253
302	2.498103331
303	2.493999867
304	2.490074339
305	2.486856814
306	2.482744074
307	2.4790035
308	2.476265478
309	2.47354611
310	2.469093879
311	2.46608831
312	2.463265037
313	2.459262526
314	2.455001431
315	2.454093732
316	2.451125194
317	2.447911925
318	2.444538665
319	2.442640687
320	2.441213817
321	2.438238941
322	2.43571009
323	2.432215726
324	2.429047944
325	2.425192041
326	2.422223461
327	2.420043879
328	2.417805324
329	2.415113479
330	2.414743485
331	2.412441168
332	2.40860353
333	2.406356762
334	2.40367026
335	2.401188943
336	2.400956548
337	2.399641117
338	2.395844916
339	2.395451394
340	2.392936331
341	2.390885812
342	2.388242644
343	2.383772188
344	2.381483565
345	2.377568085
346	2.374147396
347	2.371135273
348	2.36741445
349	2.364320061
350	2.362438617
351	2.359971297
352	2.35684046
353	2.353634207
354	2.349743615
355	2.349083181
356	2.348891082
357	2.346741744
358	2.3427777
359	2.340153891
360	2.337219325
361	2.334788546
362	2.334603636
363	2.331614106
364	2.328588164
365	2.325880285
366	2.323141834
367	2.320160547
368	2.31841927
369	2.316862395
370	2.314967536
371	2.312544318
372	2.309832462
373	2.307655129
374	2.306357226
375	2.303492573
376	2.300158303
377	2.297650507
378	2.295042213
379	2.291905179
380	2.289065948
381	2.285560973
382	2.28251302
383	2.280371451
384	2.277451421
385	2.274635328
386	2.272468094
387	2.269971702
388	2.267754407
389	2.264686199
390	2.261913165
391	2.260929838
392	2.25937105
393	2.25686066
394	2.254396056
395	2.250340222
396	2.247557089
397	2.245967026
398	2.243820297
399	2.240705397
400	2.238274392
401	2.237035878
402	2.235187756
403	2.231536087
404	2.228720178
405	2.226525389
406	2.223002633
407	2.220516149
408	2.218710611
409	2.217610223
410	2.215107817
411	2.213776642
412	2.211069428
413	2.208529403
414	2.205225528
415	2.20332621
416	2.200477879
417	2.197847236
418	2.195221629
419	2.192945791
420	2.190927804
421	2.189333382
422	2.187063045
423	2.185219553
424	2.183688866
425	2.181956459
426	2.179950782
427	2.177374016
428	2.175747326
429	2.173990983
430	2.172096075
431	2.16994411
432	2.167876593
433	2.164250608
434	2.161382716
435	2.159677831
436	2.156614046
437	2.154331553
438	2.153190543
439	2.151886987
440	2.150687967
441	2.149968693
442	2.148233681
443	2.144709743
444	2.143381736
445	2.140908342
446	2.139940275
447	2.137744066
448	2.134253005
449	2.132338577
450	2.130810057
451	2.128458852
452	2.126281994
453	2.123777507
454	2.121345926
455	2.118435734
456	2.116906416
457	2.11482766
458	2.114388214
459	2.112330856
460	2.111664661
461	2.110383361
462	2.109775448
463	2.108042684
464	2.105765654
465	2.103822322
466	2.101291035
467	2.097956251
468	2.097646041
469	2.094697473
470	2.091304367
471	2.08832621
472	2.086770262
473	2.084576143
474	2.082511728
475	2.079795341
476	2.077561882
477	2.075103534
478	2.072403369
479	2.070284221
480	2.070123785
481	2.067439432
482	2.065244966
483	2.062807252
484	2.061684752
485	2.059881007
486	2.058460698
487	2.057104986
488	2.054768425
489	2.052283274
490	2.049311218
491	2.047656427
492	2.045975133
493	2.04298187
494	2.041824198
495	2.040426505
496	2.037993425
497	2.037841922
498	2.035483102
499	2.03519832
500	2.033248965
501	2.031484678
502	2.028782636
503	2.02620398
504	2.024190569
505	2.023023329
506	2.021793142
507	2.020062204
508	2.017306187
509	2.014588782
510	2.014304918
511	2.013148859
512	2.011139054
513	2.009606415
514	2.007413554
515	2.005840728
516	2.003949332
517	2.002133118
518	1.999872175
519	1.996971998
520	1.996822534
521	1.994734205
522	1.992776575
523	1.99052736
524	1.988281122
525	1.986482058
526	1.983584746
527	1.981791482
528	1.980606775
529	1.97846986
530	1.975576135
531	1.97349857
532	1.972008705
533	1.969762112
534	1.968128139
535	1.966344283
536	1.965819622
537	1.96325359
538	1.960349117
539	1.958230022
540	1.957152548
541	1.955748104
542	1.953247662
543	1.951952412
544	1.949955942
545	1.948161966
546	1.946475525
547	1.944126367
548	1.942333567
549	1.940202597
550	1.937704523
551	1.935760601
552	1.933501817
553	1.932092026
554	1.929562746
555	1.927392867
556	1.926164731
557	1.926021224
558	1.92398372
559	1.921579094
560	1.92138937
561	1.919491353
562	1.917515458
563	1.915768876
564	1.913498497
565	1.912087609
566	1.91033337
567	1.907743697
568	1.905742395
569	1.904109397
570	1.902062
571	1.900429438
572	1.898980334
573	1.895435755
574	1.893228711
575	1.890974881
576	1.889074929
577	1.88888206
578	1.887850445
579	1.886454531
580	1.885064056
581	1.882696029
582	1.881607501
583	1.879393133
584	1.877755907
585	1.875396528
586	1.873449145
587	1.870462905
588	1.868439975
589	1.866731191
590	1.864230851
591	1.863203178
592	1.86146408
593	1.85957587
594	1.858152956
595	1.855879217
596	1.853379777
597	1.853149912
598	1.849979614
599	1.84790046
600	1.847129272
601	1.844250855
602	1.841655708
603	1.841523401
604	1.840153562
605	1.838318088
606	1.836191653
607	1.835803799
608	1.834448969
609	1.832966434
610	1.831148966
611	1.830097086
612	1.828747358
613	1.828203484
614	1.826542959
615	1.824287573
616	1.822004306
617	1.820504366
618	1.818211304
619	1.815607444
620	1.813761319
621	1.811740957
622	1.810389929
623	1.808865835
624	1.808702131
625	1.806518921
626	1.80631911
627	1.804813468
628	1.802026706
629	1.800006286
630	1.798323781
631	1.795968133
632	1.795818853
633	1.794022666
634	1.792016242
635	1.788615488
636	1.785413318
637	1.783877772
638	1.781589228
639	1.780283865
640	1.778677009
641	1.777001428
642	1.775331433
643	1.773570079
644	1.771878666
645	1.770371376
646	1.76760614
647	1.764961415
648	1.763396806
649	1.760643476
650	1.759676331
651	1.757369012
652	1.755518311
653	1.755400213
654	1.753000985
655	1.751100847
656	1.750060214
657	1.747766433
658	1.747650909
659	1.745568394
660	1.743404285
661	1.741684359
662	1.740290526
663	1.738634463
664	1.736967408
665	1.735167496
666	1.733884449
667	1.731991141
668	1.730409238
669	1.729233272
670	1.727987976
671	1.727478562
672	1.724505006
673	1.722325629
674	1.720408044
675	1.718159387
676	1.716136396
677	1.714952151
678	1.713497226
679	1.71185231
680	1.710681195
681	1.708964215
682	1.706618282
683	1.703787026
684	1.702381206
685	1.700720329
686	1.698533677
687	1.696401444
688	1.694712294
689	1.694598228
690	1.692948666
691	1.692799502
692	1.690989788
693	1.689782706
694	1.687403099
695	1.685592667
696	1.683239717
697	1.681882337
698	1.68017148
699	1.678532347
700	1.677157555
701	1.674944383
702	1.672429147
703	1.670791079
704	1.669105536
705	1.668950298
706	1.667127002
707	1.666796626
708	1.665442462
709	1.665335476
710	1.663513618
711	1.66165795
712	1.659914441
713	1.659255131
714	1.657300414
715	1.656839498
716	1.655058472
717	1.654952769
718	1.653262884
719	1.651544708
720	1.649352361
721	1.646828739
722	1.645449387
723	1.643618004
724	1.642379763
725	1.641332279
726	1.639882988
727	1.637908069
728	1.636793196
729	1.635802878
730	1.634026959
731	1.631835498
732	1.629985118
733	1.629823499
734	1.628994196
735	1.628162306
736	1.626242769
737	1.624360856
738	1.62326366
739	1.620861695
740	1.619094111
741	1.618955824
742	1.616864261
743	1.615285003
744	1.613685978
745	1.612370287
746	1.610376547
747	1.608884073
748	1.60744153
749	1.606488785
750	1.604611731
751	1.604481976
752	1.603866486
753	1.602406353
754	1.600941736
