iter	Passed	Remaining
0	4	3847
1	9	3665
2	13	3585
3	17	3483
4	21	3472
5	26	3463
6	30	3426
7	34	3402
8	38	3379
9	42	3370
10	46	3360
11	50	3330
12	54	3303
13	58	3283
14	62	3258
15	66	3239
16	69	3223
17	73	3212
18	77	3194
19	81	3175
20	85	3166
21	89	3159
22	93	3150
23	97	3138
24	101	3136
25	105	3127
26	108	3117
27	112	3108
28	116	3104
29	120	3093
30	124	3085
31	128	3077
32	132	3070
33	135	3062
34	139	3055
35	143	3047
36	147	3042
37	151	3031
38	154	3020
39	158	3017
40	162	3015
41	166	3009
42	170	3002
43	174	2996
44	178	2991
45	182	2985
46	185	2979
47	189	2971
48	193	2964
49	197	2960
50	201	2954
51	204	2946
52	208	2941
53	212	2935
54	216	2929
55	220	2923
56	223	2916
57	227	2911
58	231	2906
59	235	2901
60	239	2896
61	242	2890
62	246	2884
63	250	2879
64	254	2874
65	257	2869
66	261	2864
67	265	2860
68	269	2857
69	273	2852
70	277	2846
71	280	2840
72	284	2835
73	288	2829
74	292	2824
75	295	2818
76	299	2814
77	303	2808
78	307	2804
79	310	2797
80	314	2793
81	318	2788
82	322	2784
83	326	2780
84	330	2776
85	333	2772
86	337	2767
87	341	2763
88	346	2765
89	350	2765
90	355	2769
91	360	2770
92	364	2770
93	368	2765
94	372	2760
95	375	2757
96	379	2751
97	383	2747
98	387	2742
99	391	2737
100	395	2733
101	398	2729
102	402	2725
103	406	2720
104	410	2715
105	414	2711
106	417	2706
107	421	2702
108	425	2696
109	429	2691
110	433	2687
111	436	2683
112	440	2678
113	444	2674
114	448	2670
115	452	2666
116	455	2661
117	459	2656
118	463	2653
119	467	2651
120	472	2650
121	476	2647
122	480	2644
123	484	2639
124	488	2636
125	491	2630
126	495	2627
127	499	2622
128	503	2618
129	507	2614
130	511	2609
131	514	2604
132	518	2599
133	522	2595
134	525	2590
135	529	2586
136	533	2581
137	537	2577
138	541	2573
139	544	2569
140	548	2564
141	552	2560
142	556	2556
143	560	2551
144	563	2547
145	567	2543
146	571	2538
147	575	2533
148	578	2529
149	582	2525
150	586	2521
151	590	2516
152	593	2511
153	597	2507
154	601	2502
155	605	2498
156	608	2493
157	612	2489
158	616	2485
159	620	2480
160	624	2476
161	627	2471
162	631	2467
163	635	2462
164	638	2458
165	642	2453
166	646	2450
167	650	2445
168	653	2441
169	657	2436
170	661	2432
171	665	2428
172	668	2423
173	672	2419
174	676	2415
175	680	2411
176	683	2407
177	687	2403
178	691	2399
179	695	2394
180	698	2390
181	702	2385
182	706	2381
183	710	2377
184	713	2373
185	717	2368
186	721	2365
187	725	2360
188	728	2356
189	732	2352
190	736	2348
191	740	2344
192	744	2340
193	747	2336
194	751	2332
195	755	2328
196	759	2324
197	763	2320
198	766	2316
199	770	2311
200	774	2307
201	778	2303
202	781	2299
203	785	2295
204	789	2290
205	792	2286
206	796	2282
207	800	2278
208	804	2274
209	808	2270
210	811	2266
211	815	2262
212	819	2258
213	823	2254
214	827	2250
215	831	2247
216	835	2245
217	839	2240
218	843	2237
219	847	2234
220	851	2231
221	855	2227
222	859	2223
223	863	2219
224	867	2215
225	870	2212
226	875	2209
227	878	2204
228	882	2200
229	886	2197
230	890	2193
231	894	2188
232	897	2184
233	901	2180
234	905	2176
235	909	2172
236	913	2168
237	916	2164
238	920	2160
239	924	2156
240	927	2152
241	931	2148
242	935	2144
243	939	2140
244	942	2136
245	947	2133
246	951	2131
247	958	2132
248	963	2131
249	967	2128
250	971	2125
251	976	2124
252	981	2121
253	985	2118
254	989	2115
255	993	2111
256	997	2107
257	1001	2103
258	1004	2099
259	1008	2095
260	1012	2090
261	1016	2086
262	1020	2082
263	1023	2078
264	1027	2074
265	1031	2070
266	1035	2066
267	1038	2062
268	1042	2058
269	1046	2054
270	1050	2049
271	1053	2045
272	1057	2041
273	1061	2037
274	1065	2033
275	1069	2030
276	1074	2028
277	1078	2025
278	1082	2022
279	1087	2019
280	1091	2015
281	1096	2013
282	1100	2010
283	1104	2006
284	1108	2002
285	1112	1998
286	1116	1995
287	1120	1991
288	1124	1988
