iter	Passed	Remaining
0	2114	2112556
1	4396	2193633
2	6353	2111612
3	8035	2000756
4	9508	1892136
5	10466	1733912
6	11323	1606372
7	12223	1515744
8	13187	1452069
9	14136	1399510
10	15165	1363499
11	16117	1327001
12	17205	1306264
13	18199	1281738
14	19217	1261955
15	20232	1244322
16	21241	1228273
17	22264	1214667
18	23307	1203397
19	24312	1191297
20	25316	1180231
21	26278	1168217
22	27311	1160150
23	28291	1150522
24	29346	1144519
25	30318	1135783
26	31394	1131370
27	32355	1123205
28	33406	1118553
29	34489	1115158
30	35534	1110755
31	36638	1108323
32	37659	1103531
33	38652	1098194
34	39631	1092702
35	40607	1087379
36	41645	1083898
37	42618	1078915
38	43635	1075215
39	44630	1071141
40	45713	1069246
41	47351	1080071
42	48242	1073683
43	49091	1066623
44	49969	1060471
45	50816	1053887
46	51821	1050759
47	52724	1045693
48	53616	1040594
49	54570	1036848
50	55483	1032434
51	56468	1029457
52	57460	1026696
53	58519	1025178
54	59566	1023464
55	60588	1021355
56	61554	1018356
57	62511	1015267
58	63521	1013107
59	64443	1009610
60	65408	1006865
61	66342	1003700
62	67349	1001696
63	68327	999285
64	69152	994728
65	70115	992239
66	71091	989978
67	72046	987460
68	73100	986328
69	74120	984745
70	75144	983232
71	76169	981745
72	77092	978969
73	78119	977549
74	79023	974618
75	79992	972537
76	80847	969116
77	81911	968233
78	82930	966826
79	83955	965490
80	84957	963905
81	85879	961429
82	86884	959921
83	87918	958732
84	88891	956890
85	89878	955224
86	90820	953091
87	91669	950026
88	92549	947337
89	93435	944740
90	94423	943193
91	95433	941887
92	96436	940515
93	97390	938683
94	98256	936026
95	99194	934079
96	100149	932317
97	101085	930400
98	102039	928661
99	103005	927049
100	103952	925277
101	104946	923943
102	105972	922886
103	106984	921712
104	107919	919883
105	108967	919026
106	109945	917582
107	110883	915813
108	111874	914493
109	112812	912759
110	113814	911540
111	114713	909512
112	115656	907850
113	117166	910611
114	118241	909948
115	119237	908673
116	120205	907190
117	121220	906072
118	122258	905122
119	123242	903779
120	124309	903040
121	125399	902466
122	126396	901214
123	127381	899891
124	128411	898879
125	129427	897771
126	130413	896462
127	131410	895234
128	132411	894037
129	133416	892862
130	134453	891907
131	135527	891192
132	136554	890172
133	137538	888868
134	138554	887777
135	139569	886675
136	140582	885567
137	141661	884872
138	142743	884185
139	143768	883149
140	144796	882128
141	145810	881025
142	146796	879751
143	147801	878599
144	148787	877335
145	149805	876260
146	150816	875143
147	151911	874519
148	152937	873488
149	154010	872725
150	154994	871461
151	156097	870857
152	157159	870025
153	158201	869079
154	159200	867900
155	160232	866897
156	161308	866133
157	162325	865053
158	163363	864079
159	164393	863068
160	165342	861631
161	166288	860182
162	167255	858852
163	168245	857641
164	169232	856416
165	170232	855264
166	171248	854189
167	172268	853141
168	173343	852356
169	174376	851366
170	175479	850716
171	176535	849834
172	177575	848871
173	178584	847764
174	179623	846795
175	180629	845676
176	181701	844861
177	182767	844013
178	183758	842823
179	184819	841956
180	185865	841014
181	186878	839924
182	187905	838902
183	188947	837941
184	189967	836881
185	190974	835771
186	192001	834742
187	193086	833968
188	194099	832883
189	195069	831613
190	196060	830432
191	197029	829167
192	197986	827850
193	198909	826397
194	199898	825220
195	200977	824419
196	201999	823379
197	203054	822472
198	204071	821414
199	205096	820387
200	206117	819341
201	207177	818451
202	208234	817549
203	209248	816479
204	210267	815429
205	211263	814287
206	212313	813356
207	213290	812143
208	214252	810880
209	215217	809627
210	216169	808330
211	217148	807135
212	218128	805948
213	219089	804693
214	220017	803320
215	220943	801941
216	221834	800442
217	222748	799033
218	223572	797305
219	224406	795624
220	225326	794249
221	226232	792833
222	227267	791870
223	228210	790586
224	229117	789182
225	230184	788331
226	231155	787151
227	232228	786317
228	233155	784992
229	234109	783758
230	235110	782685
231	236135	781689
232	237113	780542
233	238059	779289
234	239007	778045
235	240018	777010
236	241047	776029
237	242077	775055
238	243163	774257
239	244044	772808
240	245082	771856
241	246074	770761
242	247069	769678
243	248053	768558
244	248992	767304
245	249993	766240
246	251004	765206
247	251885	763783
248	252876	762692
249	253871	761615
250	254871	760553
251	255808	759304
252	256866	758415
253	257728	756951
254	258689	755778
255	259699	754752
256	260646	753543
257	261713	752679
258	262767	751779
259	263796	750804
260	264845	749888
261	265897	748978
262	266912	747963
263	267715	746357
264	268522	744769
265	269447	743512
266	270424	742400
267	271368	741199
268	272355	740118
269	273322	738981
270	274263	737780
271	275282	736785
272	276231	735604
273	277299	734741
274	278315	733741
275	279309	732681
276	280361	731773
277	281323	730632
278	282286	729494
279	283342	728594
280	284354	727582
281	285358	726552
282	286350	725488
283	287367	724490
284	288439	723627
285	289447	722605
286	290455	721585
287	291425	720468
288	292460	719513
289	293418	718368
290	294353	717171
291	295318	716045
292	296332	715041
293	297343	714029
294	298354	713017
295	299377	712032
296	300394	711035
297	301378	709958
298	302399	708969
299	303397	707928
300	304549	707241
301	305537	706175
302	306444	704923
303	307362	703697
304	308381	702704
305	309351	701600
306	310315	700484
307	311267	699341
308	312372	698541
309	314148	699232
310	315007	697879
311	315918	696641
312	316809	695360
313	317694	694071
314	318584	692795
315	319514	691606
316	320526	690598
317	321365	689218
318	322250	687939
319	323312	687038
320	324304	685989
321	325223	684787
322	326227	683765
323	327049	682361
324	327999	681229
325	329052	680310
326	330057	679293
327	330949	678043
328	331856	676825
329	332767	675618
330	333678	674413
331	334613	673258
332	335541	672090
333	336488	670961
334	337398	669760
335	338242	668432
336	339095	667123
337	339975	665868
338	340919	664742
339	341864	663619
340	342824	662526
341	343885	661626
342	344897	660634
343	345874	659574
344	346829	658473
345	347829	657457
346	348781	656353
347	349819	655409
348	350762	654287
349	351718	653191
350	352638	652030
351	353548	650850
352	354419	649602
353	355394	648545
354	356298	647360
355	357203	646177
356	358180	645125
357	359095	643964
358	360018	642819
359	361007	641790
360	361948	640679
361	362831	639465
362	363796	638398
363	364717	637253
364	365675	636175
365	366724	635255
366	367648	634118
367	368609	633046
368	369595	632019
369	370682	631162
370	371595	630009
371	372595	629005
372	373559	627940
373	374496	626831
374	375475	625792
375	376438	624727
376	377387	623640
377	378339	622559
378	379335	621549
379	380319	620521
380	381274	619445
381	382299	618483
382	383331	617533
383	384364	616585
384	385482	615770
385	386501	614797
386	387458	613726
387	388387	612611
388	389351	611551
389	390268	610419
390	391250	609390
391	392265	608412
392	393278	607430
393	394312	606481
394	395297	605455
395	396187	604285
396	397042	603064
397	397862	601791
398	398687	600529
399	399517	599276
400	400292	597942
401	401213	596830
402	402218	595842
403	403203	594825
404	404219	593853
405	405151	592758
406	406056	591625
407	406843	590321
408	407792	589255
409	408796	588268
410	409809	587293
411	410763	586234
412	411753	585228
413	412712	584178
414	413656	583106
415	414582	582010
416	415542	580961
417	416515	579933
418	417396	578776
419	418260	577597
420	419179	576496
421	420013	575279
422	420895	574129
423	421850	573080
424	422824	572056
425	423678	570872
426	424538	569697
427	425377	568495
428	426270	567366
429	427276	566390
430	428225	565336
431	429127	564223
432	430015	563091
433	431131	562258
434	432189	561349
435	433191	560366
436	434162	559344
437	435143	558334
438	436042	557219
439	437039	556232
440	438032	555238
441	438886	554069
442	439814	552994
443	440796	551988
444	441791	550998
445	442792	550016
446	443739	548966
447	444646	547867
448	445644	546881
449	446625	545875
450	447643	544913
451	448611	543892
452	449592	542885
453	450542	541841
454	451665	541005
455	452687	540047
456	453680	539055
457	454683	538075
458	455632	537030
459	456567	535970
460	457590	535014
461	458515	533941
462	459384	532806
463	460277	531699
464	461275	530714
465	462264	529719
466	463434	528930
467	464412	527922
468	465402	526927
469	466281	525806
470	467162	524689
471	468153	523696
472	469173	522736
473	470149	521726
474	471104	520694
475	472116	519725
476	473066	518687
477	474025	517659
478	475013	516664
479	475997	515664
480	476889	514564
481	477873	513565
482	478848	512556
483	479844	511570
484	480797	510537
485	481740	509495
486	482705	508476
487	483674	507461
488	484676	506481
489	485670	505493
490	486571	504409
491	487472	503325
492	488412	502282
493	489296	501182
494	490214	500117
495	491195	499117
496	492232	498175
497	493225	497187
498	494194	496175
499	495169	495169
500	495981	494001
501	496937	492977
502	497935	491996
503	498838	490920
