iter	Passed	Remaining
0	0	488
1	1	539
2	1	483
3	1	471
4	2	459
5	2	442
6	3	426
7	3	416
8	3	406
9	4	398
10	4	393
11	4	387
12	5	382
13	5	378
14	5	375
15	6	376
16	6	377
17	6	373
18	7	371
19	7	368
20	7	365
21	8	363
22	8	361
23	8	363
24	9	367
25	9	370
26	10	368
27	10	367
28	10	365
29	11	364
30	11	363
31	11	361
32	12	360
33	12	358
34	12	357
35	13	356
36	13	355
37	13	353
38	14	352
39	14	351
40	14	350
41	15	349
42	15	348
43	15	347
44	16	346
45	16	345
46	17	345
47	17	344
48	17	343
49	18	343
50	18	342
51	18	341
52	19	340
53	19	340
54	19	340
55	20	340
56	20	339
57	20	338
58	21	338
59	21	337
60	21	336
61	22	335
62	22	335
63	22	334
64	23	333
65	23	333
66	23	332
67	24	332
68	24	331
69	24	330
70	25	330
71	25	330
72	25	329
73	26	328
74	26	328
75	26	327
76	27	326
77	27	326
78	27	325
79	28	324
80	28	324
81	28	323
82	29	323
83	29	322
84	29	322
85	30	321
86	30	320
87	30	320
88	31	319
89	31	318
90	31	318
91	32	317
92	32	317
93	32	316
94	33	316
95	33	315
96	33	315
97	34	314
98	34	314
99	34	313
100	35	313
101	35	312
102	35	312
103	36	312
104	36	311
105	36	311
106	37	311
107	37	310
108	37	310
109	38	309
110	38	309
111	38	308
112	39	308
113	39	307
114	40	308
115	40	308
116	40	307
117	41	307
118	41	306
119	41	306
120	42	305
121	42	305
122	42	304
123	43	304
124	43	303
125	43	303
126	44	302
127	44	302
128	44	301
129	45	301
130	45	300
131	45	300
132	46	299
133	46	299
134	46	299
135	46	298
136	47	298
137	47	297
138	47	297
139	48	296
140	48	296
141	48	295
142	49	295
143	49	295
144	49	294
145	50	294
146	50	293
147	50	293
148	51	293
149	51	292
150	51	292
151	52	291
152	52	291
153	52	290
154	53	290
155	53	289
156	53	289
157	54	289
158	54	288
159	55	289
160	55	288
161	55	288
162	56	287
163	56	287
164	56	287
165	57	286
166	57	286
167	57	286
168	58	285
169	58	285
170	58	284
171	59	284
172	59	284
173	59	283
174	60	283
175	60	283
176	60	282
177	61	282
178	61	281
179	61	281
180	62	280
181	62	280
182	62	280
183	63	279
184	63	279
185	63	279
186	64	278
187	64	278
188	64	277
189	65	278
190	65	277
191	65	277
192	66	277
193	66	276
194	66	276
195	67	275
196	67	275
197	67	275
198	68	274
199	68	274
200	68	274
201	69	273
202	69	273
203	69	272
204	70	272
205	70	272
206	70	271
207	71	271
208	71	270
209	71	270
210	72	270
