iter	RMSE
0	11.13700291
1	11.11107124
2	11.08666397
3	11.05695068
4	11.02834525
5	11.00077363
6	10.96962827
7	10.94254758
8	10.91427182
9	10.88742379
10	10.85939228
11	10.83777822
12	10.81419939
13	10.79051414
14	10.76308339
15	10.73950641
16	10.71537018
17	10.69103254
18	10.66609628
19	10.64337696
20	10.61816372
21	10.59426289
22	10.57151727
23	10.54941403
24	10.52549965
25	10.50412941
26	10.48113864
27	10.45803105
28	10.43581253
29	10.41756259
30	10.39665714
31	10.37513982
32	10.3547627
33	10.33575588
34	10.3140534
35	10.29513076
36	10.27417207
37	10.25231871
38	10.22915856
39	10.20840269
40	10.18701575
41	10.16652181
42	10.1486442
43	10.12984549
44	10.10940584
45	10.09469318
46	10.07778457
47	10.05826453
48	10.03900077
49	10.02068363
50	10.00310665
51	9.984213981
52	9.968199957
53	9.94948668
54	9.933028811
55	9.914786083
56	9.895933359
57	9.880188851
58	9.864410708
59	9.850552205
60	9.835160283
61	9.818258775
62	9.802684254
63	9.786709593
64	9.768541377
65	9.752799834
66	9.738392842
67	9.723515771
68	9.707997244
69	9.693400939
70	9.677619987
71	9.66126517
72	9.645472215
73	9.632084095
74	9.618421373
75	9.605261559
76	9.589703036
77	9.574714343
78	9.561350728
79	9.547601255
80	9.532800937
81	9.519581
82	9.506554852
83	9.493014201
84	9.480492539
85	9.471227375
86	9.459631629
87	9.444179409
88	9.430646216
89	9.419637832
90	9.405313956
91	9.393053799
92	9.382330707
93	9.370321616
94	9.360247019
95	9.348471526
96	9.333948056
97	9.32235279
98	9.31206058
99	9.302100551
100	9.290557169
101	9.279051526
102	9.265788703
103	9.251743497
104	9.242636556
105	9.231434243
106	9.219826814
107	9.20751289
108	9.198628578
109	9.187757437
110	9.179347517
111	9.16872681
112	9.158244423
113	9.148868239
114	9.137820439
115	9.128066108
116	9.116755006
117	9.107571424
118	9.096521726
119	9.086643363
120	9.076035186
121	9.065865572
122	9.056639076
123	9.047293696
124	9.038774667
125	9.029950147
126	9.022149423
127	9.013843511
128	9.004201136
129	8.994261778
130	8.985348834
131	8.975447803
132	8.967366114
133	8.95788947
134	8.949051097
135	8.938875161
136	8.929608521
137	8.922825016
138	8.913543925
139	8.906783571
140	8.896858523
141	8.890758893
142	8.882634779
143	8.873889535
144	8.865392117
145	8.857852125
146	8.849581005
147	8.841392868
148	8.832773452
149	8.825822327
150	8.819670507
151	8.811636817
152	8.801639919
153	8.792156105
154	8.783951851
155	8.77594049
156	8.768773882
157	8.762651538
158	8.753672947
159	8.747766414
160	8.740644189
161	8.73340214
162	8.726372309
163	8.71890051
164	8.711803166
165	8.705554985
166	8.697998794
167	8.6905499
168	8.682903016
169	8.676933401
170	8.670728777
171	8.664843263
172	8.657543989
173	8.650016748
174	8.644311359
175	8.637282562
176	8.630945633
177	8.624446823
178	8.617711003
179	8.610547484
180	8.60292163
181	8.596904235
182	8.590637679
183	8.584082707
184	8.577771315
185	8.570318438
186	8.565225701
187	8.558820213
188	8.551788174
189	8.544209957
190	8.53938336
191	8.532577341
192	8.526352878
193	8.519660408
194	8.512165436
195	8.506662638
196	8.501409718
197	8.496113537
198	8.490252257
199	8.483975697
200	8.479082089
201	8.47480102
202	8.468853029
203	8.464378762
204	8.459552109
205	8.453072457
206	8.447429862
207	8.442848953
208	8.436555747
209	8.431746985
210	8.426168642
211	8.421381199
212	8.415607424
213	8.410263905
214	8.40478706
215	8.399757384
216	8.395820411
217	8.390018777
218	8.386799923
219	8.382721607
220	8.377266234
221	8.372007288
222	8.367030709
223	8.36097551
224	8.355876725
225	8.351559366
226	8.346315768
227	8.341174628
228	8.337805253
229	8.33418415
230	8.329717393
231	8.325516429
232	8.321237183
233	8.315761004
234	8.310813054
235	8.304842077
236	8.298526303
237	8.293638088
238	8.288566807
239	8.285212273
240	8.28111164
241	8.274415264
242	8.270621998
243	8.264912936
244	8.26072564
245	8.255360902
246	8.250785786
247	8.247443789
248	8.241755067
249	8.236088552
250	8.231125293
251	8.226383911
252	8.221896229
253	8.217820963
254	8.213104726
255	8.208224276
256	8.204188909
257	8.199475164
258	8.194712511
259	8.190932414
260	8.186295216
261	8.182242627
262	8.177559476
263	8.172865523
264	8.169310307
265	8.164796208
266	8.160903111
267	8.157323995
268	8.152758672
269	8.148427914
270	8.143896386
271	8.139605799
272	8.135248209
273	8.130197135
274	8.126955139
275	8.123632616
276	8.119906649
277	8.115993508
278	8.112205791
279	8.108827091
280	8.105286133
281	8.101383784
282	8.098324312
283	8.094212073
284	8.091077755
285	8.086748429
286	8.082381339
287	8.079821694
288	8.07594837
289	8.072022231
290	8.068642225
291	8.065346398
292	8.060703456
293	8.057153689
294	8.05272079
295	8.049742855
296	8.045694212
297	8.042255168
298	8.038299644
299	8.035399183
300	8.032567367
301	8.030445243
302	8.027001965
303	8.022850752
304	8.019379275
305	8.015268342
306	8.011745568
307	8.008400504
308	8.004120736
309	8.000671182
310	7.997866016
311	7.995035368
312	7.991128518
313	7.987551058
314	7.982628324
315	7.979620834
316	7.976349261
317	7.971692115
318	7.96803932
319	7.96551451
320	7.96211723
321	7.959277769
322	7.95563967
323	7.953373848
324	7.950248812
325	7.947227699
326	7.943201975
327	7.940969496
328	7.938411381
329	7.935151859
330	7.932057248
331	7.928921068
332	7.925604414
333	7.921697082
334	7.918602555
335	7.916075385
336	7.912506301
337	7.908834279
338	7.906412446
339	7.903768704
340	7.900534575
341	7.896559916
342	7.893556849
343	7.890403537
344	7.886925838
345	7.884438541
346	7.881668813
347	7.878491958
348	7.87585205
349	7.871992067
350	7.869977015
351	7.865495794
352	7.861974253
353	7.858834722
354	7.85587883
355	7.853010368
356	7.849004395
357	7.846018908
358	7.843140459
359	7.839817461
360	7.837750159
361	7.834736379
362	7.832654603
363	7.831276799
364	7.828076306
365	7.82517093
366	7.821470686
367	7.817920501
368	7.815304396
369	7.813313213
370	7.810955489
371	7.809383015
372	7.805861031
373	7.803323769
374	7.800964678
375	7.798073912
376	7.795598147
377	7.792508907
378	7.789605847
379	7.78734714
380	7.78361438
