iter	Passed	Remaining
0	5	4239
1	9	3645
2	13	3558
3	17	3569
4	22	3616
5	27	3622
6	31	3567
7	36	3574
8	41	3687
9	46	3647
10	51	3663
11	73	4813
12	77	4707
13	81	4580
14	85	4472
15	90	4456
16	96	4430
17	101	4412
18	105	4349
19	109	4267
20	113	4211
21	118	4179
22	122	4124
23	125	4062
24	129	4016
25	133	3978
26	138	3963
27	142	3941
28	146	3907
29	152	3917
30	156	3893
31	162	3895
32	166	3864
33	170	3835
34	174	3806
35	178	3783
36	182	3760
37	187	3755
38	191	3737
39	195	3720
40	200	3711
41	205	3700
42	209	3682
43	213	3672
44	218	3666
45	223	3659
46	227	3637
47	231	3630
48	236	3618
49	240	3604
50	245	3599
51	250	3600
52	254	3584
53	258	3575
54	263	3564
55	269	3580
56	273	3562
57	277	3544
58	285	3580
59	290	3577
60	294	3568
61	299	3569
62	304	3566
63	309	3559
64	314	3555
65	319	3548
66	323	3534
67	326	3518
68	330	3505
69	334	3488
70	338	3474
71	342	3459
72	346	3451
73	349	3430
74	353	3414
75	356	3398
76	360	3383
77	364	3372
78	367	3358
79	371	3343
80	374	3327
81	378	3318
82	382	3301
83	385	3289
84	389	3275
85	393	3269
86	397	3256
87	401	3246
88	404	3233
89	408	3219
90	412	3212
91	416	3201
92	419	3189
93	422	3175
94	426	3166
95	430	3155
96	433	3144
97	437	3132
98	441	3123
99	444	3114
100	448	3103
101	451	3093
102	455	3082
103	463	3101
104	467	3092
105	470	3083
106	474	3075
107	478	3064
108	481	3053
109	485	3043
110	488	3032
111	492	3026
112	496	3015
113	500	3009
114	503	2998
115	507	2992
116	511	2984
117	515	2977
118	518	2965
119	521	2955
120	525	2948
121	528	2939
122	532	2928
123	535	2917
124	539	2911
125	542	2902
126	545	2891
127	549	2882
128	552	2874
129	557	2873
130	560	2862
131	564	2854
132	567	2846
133	571	2841
134	575	2833
135	578	2825
136	582	2819
137	586	2813
138	590	2806
139	593	2798
140	597	2792
141	600	2783
142	605	2779
143	608	2771
144	611	2763
145	615	2757
146	619	2750
147	622	2744
148	626	2738
149	630	2732
150	634	2725
151	638	2721
152	642	2715
153	645	2706
154	648	2699
155	652	2693
156	656	2687
157	659	2680
158	662	2672
159	667	2668
160	671	2663
161	674	2657
162	678	2649
163	681	2644
164	686	2640
165	688	2631
166	691	2622
167	694	2614
168	697	2606
169	701	2598
170	704	2590
171	707	2581
172	710	2574
173	712	2564
174	715	2556
175	718	2548
176	722	2542
177	725	2534
178	727	2525
179	731	2518
180	734	2511
181	737	2503
182	740	2496
183	743	2488
184	746	2481
